The A Team ; Ed Sheeran;;;;;;;;;
Sexy And I Know It ; LMFAO;;;;;;;;;
Gangnam Style (강남스타일) ; PSY;;;;;;;;;
Lila Wolken ; Marteria, Yasha, Miss Platnum;;;;;;;;;
Friends ; Aura, Rock Mafia;;;;;;;;;
Diamonds ; Rihanna;;;;;;;;;
Diese Tage ; Kris, Dante Thomas;;;;;;;;;
Augenbling ; Seeed;;;;;;;;;
Locked Out Of Heaven ; Bruno Mars;;;;;;;;;
Let Her Go ; Passenger;;;;;;;;;
Thrift Shop - feat. Wanz ; Macklemore & Ryan Lewis;;;;;;;;;
Can't Hold Us - feat. Ray Dalton ; Macklemore & Ryan Lewis;;;;;;;;;
Blurred Lines ; Robin Thicke, T.I., Pharrell Williams;;;;;;;;;
I Love It (feat. Charli XCX) - Original Version ; Icona Pop, Charli XCX;;;;;;;;;
Get Lucky - Radio Edit ; Daft Punk, Pharrell Williams, Nile Rodgers;;;;;;;;;
Wake Me Up ; Avicii;;;;;;;;;
Applaus, Applaus - Single Version ; Sportfreunde Stiller;;;;;;;;;
Counting Stars ; OneRepublic;;;;;;;;;
Safe And Sound ; Capital Cities;;;;;;;;;
CASTLE OF GLASS ; Linkin Park;;;;;;;;;
La La La ; Naughty Boy, Sam Smith;;;;;;;;;
Ho Hey ; The Lumineers;;;;;;;;;
Pompeii ; Bastille;;;;;;;;;
Dear Darlin' ; Olly Murs;;;;;;;;;
Whatever ; CRO;;;;;;;;;
Roar ; Katy Perry;;;;;;;;;
Try ; P!nk;;;;;;;;;
Hero ; Family of the Year;;;;;;;;;
Wrecking Ball ; Miley Cyrus;;;;;;;;;
On Top Of The World ; Imagine Dragons;;;;;;;;;
Jubel - Radio Edit ; Klingande;;;;;;;;;
Willst du ; Alligatoah;;;;;;;;;
Hey Brother ; Avicii;;;;;;;;;
Talk Dirty (feat. 2 Chainz) ; Jason Derulo, 2 Chainz;;;;;;;;;
Schönste Zeit ; Bosse;;;;;;;;;
Stolen Dance ; Milky Chance;;;;;;;;;
Treasure ; Bruno Mars;;;;;;;;;
Hey Now - Single Mix ; Martin Solveig & The Cataracs, Kyle;;;;;;;;;
Everything at Once ; Lenka;;;;;;;;;
Things We Lost In The Fire ; Bastille;;;;;;;;;
Royals ; Lorde;;;;;;;;;
Das kann uns keiner nehmen ; Revolverheld;;;;;;;;;
Do It - Single Mix ; The BossHoss;;;;;;;;;
Too Many Friends ; Placebo;;;;;;;;;
I See Fire ; Ed Sheeran;;;;;;;;;
Happy ; Pharrell Williams;;;;;;;;;
Waves - Robin Schulz Remix ; Mr. Probz;;;;;;;;;
Rather Be (feat. Jess Glynne) ; Clean Bandit, Jess Glynne;;;;;;;;;
Au Revoir ; Mark Forster, Sido;;;;;;;;;
Auf uns ; Andreas Bourani;;;;;;;;;
Budapest ; George Ezra;;;;;;;;;
Ich lass für dich das Licht an ; Revolverheld;;;;;;;;;
Lieder ; Adel Tawil;;;;;;;;;
Traum ; CRO;;;;;;;;;
Summer ; Calvin Harris;;;;;;;;;
Timber ; Pitbull, Kesha;;;;;;;;;
Love Runs Out ; OneRepublic;;;;;;;;;
When The Beat Drops Out ; Marlon Roudette;;;;;;;;;
Shake It Off ; Twenty One Two;;;;;;;;;
Lass uns gehen - Single Version ; Revolverheld;;;;;;;;;
Best Day Of My Life ; American Authors;;;;;;;;;
Lieblingsmensch ; Namika;;;;;;;;;
Shut Up and Dance ; WALK THE MOON;;;;;;;;;
Astronaut ; Sido, Andreas Bourani;;;;;;;;;
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix ; Robin Schulz, Jasmine Thompson;;;;;;;;;
Hurra die Welt geht unter ; K.I.Z., Henning May;;;;;;;;;
Denken Sie groß ; Deichkind;;;;;;;;;
